Entrance/Exit Statistics,,
Parameters,,
"Mon, Sep 12, 2022 12:00 AM to Mon, Feb 20, 2023 11:59 PM",,
Facilities: Recreation Center,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,
,Entrances,Exits
Facility: Recreation Center,497712,0
Week: 09/11/2022 - 09/17/2022,16299,0
"Mon, Sep 12, 2022",2066,0
06:00 - 06:15 AM,15,0
06:15 - 06:30 AM,10,0
06:30 - 06:45 AM,17,0
06:45 - 07:00 AM,14,0
07:00 - 07:15 AM,16,0
07:15 - 07:30 AM,10,0
07:30 - 07:45 AM,8,0
07:45 - 08:00 AM,33,0
08:00 - 08:15 AM,15,0
08:15 - 08:30 AM,10,0
08:30 - 08:45 AM,21,0
08:45 - 9:00 AM,22,0
9:00 - 9:15 AM,28,0
9:15 - 9:30 AM,18,0
9:30 - 9:45 AM,19,0
9:45 - 10:00 AM,29,0
10:00 - 10:15 AM,26,0
10:15 - 10:30 AM,48,0
10:30 - 10:45 AM,40,0
10:45 - 11:00 AM,34,0
11:00 - 11:15 AM,38,0
11:15 - 11:30 AM,36,0
11:30 - 11:45 AM,47,0
11:45 - 12:00 AM,47,0
12:00 - 12:15 AM,58,0
12:15 - 12:30 AM,56,0
12:30 - 12:45 AM,48,0
12:45 - 01:00 PM,28,0
01:00 - 01:15 PM,29,0
01:15 - 01:30 PM,44,0
"Tue, Feb 21 2023 2:45P",Page: 1/247,
Entrances,Exits,
01:30 - 01:45 PM,37,0
01:45 - 02:00 PM,37,0
02:00 - 02:15 PM,34,0
02:15 - 02:30 PM,41,0
02:30 - 02:45 PM,24,0
02:45 - 03:00 PM,41,0
03:00 - 03:15 PM,51,0
03:15 - 03:30 PM,53,0
03:30 - 03:45 PM,48,0
03:45 - 04:00 PM,65,0
04:00 - 04:15 PM,51,0
04:15 - 04:30 PM,59,0
04:30 - 04:45 PM,37,0
04:45 - 05:00 PM,51,0
05:00 - 05:15 PM,48,0
05:15 - 05:30 PM,79,0
05:30 - 05:45 PM,40,0
05:45 - 06:00 PM,40,0
06:00 - 06:15 PM,40,0
06:15 - 06:30 PM,44,0
06:30 - 06:45 PM,30,0
06:45 - 07:00 PM,39,0
07:00 - 07:15 PM,17,0
07:15 - 07:30 PM,28,0
07:30 - 07:45 PM,32,0
07:45 - 08:00 PM,17,0
08:00 - 08:15 PM,30,0
08:15 - 08:30 PM,20,0
08:30 - 08:45 PM,21,0
08:45 - 9:00 PM,13,0
9:00 - 9:15 PM,11,0
9:15 - 9:30 PM,12,0
9:30 - 9:45 PM,2,0
9:45 - 10:00 PM,4,0
10:00 - 10:15 PM,1,0
10:30 - 10:45 PM,2,0
10:45 - 11:00 PM,1,0
11:15 - 11:30 PM,2,0
"Tue, Sep 13, 2022",2410,0
05:45 - 06:00 AM,6,0
"Tue, Feb 21 2023 2:45P",Page: 2/247,
Entrances,Exits,
06:00 - 06:15 AM,20,0
06:15 - 06:30 AM,15,0
06:30 - 06:45 AM,8,0
06:45 - 07:00 AM,20,0
07:00 - 07:15 AM,23,0
07:15 - 07:30 AM,14,0
07:30 - 07:45 AM,7,0
07:45 - 08:00 AM,45,0
08:00 - 08:15 AM,17,0
08:15 - 08:30 AM,12,0
08:30 - 08:45 AM,36,0
08:45 - 9:00 AM,30,0
9:00 - 9:15 AM,25,0
9:15 - 9:30 AM,18,0
9:30 - 9:45 AM,27,0
9:45 - 10:00 AM,40,0
10:00 - 10:15 AM,34,0
10:15 - 10:30 AM,32,0
10:30 - 10:45 AM,30,0
10:45 - 11:00 AM,36,0
11:00 - 11:15 AM,28,0
11:15 - 11:30 AM,57,0
11:30 - 11:45 AM,46,0
11:45 - 12:00 AM,37,0
12:00 - 12:15 AM,69,0
12:15 - 12:30 AM,55,0
12:30 - 12:45 AM,31,0
12:45 - 01:00 PM,38,0
01:00 - 01:15 PM,50,0
01:15 - 01:30 PM,57,0
01:30 - 01:45 PM,43,0
01:45 - 02:00 PM,49,0
02:00 - 02:15 PM,71,0
02:15 - 02:30 PM,57,0
02:30 - 02:45 PM,52,0
02:45 - 03:00 PM,48,0
03:00 - 03:15 PM,28,0
03:15 - 03:30 PM,31,0
03:30 - 03:45 PM,38,0
03:45 - 04:00 PM,39,0
"Tue, Feb 21 2023 2:45P",Page: 3/247,
Entrances,Exits,
04:00 - 04:15 PM,73,0
04:15 - 04:30 PM,50,0
04:30 - 04:45 PM,53,0
04:45 - 05:00 PM,70,0
05:00 - 05:15 PM,48,0
05:15 - 05:30 PM,49,0
05:30 - 05:45 PM,50,0
05:45 - 06:00 PM,42,0
06:00 - 06:15 PM,25,0
06:15 - 06:30 PM,55,0
06:30 - 06:45 PM,40,0
06:45 - 07:00 PM,19,0
07:00 - 07:15 PM,26,0
07:15 - 07:30 PM,34,0
07:30 - 07:45 PM,44,0
07:45 - 08:00 PM,34,0
08:00 - 08:15 PM,40,0
08:15 - 08:30 PM,39,0
08:30 - 08:45 PM,32,0
08:45 - 9:00 PM,32,0
9:00 - 9:15 PM,40,0
9:15 - 9:30 PM,22,0
9:30 - 9:45 PM,16,0
9:45 - 10:00 PM,8,0
10:00 - 10:15 PM,12,0
10:15 - 10:30 PM,9,0
10:30 - 10:45 PM,8,0
10:45 - 11:00 PM,8,0
11:00 - 11:15 PM,4,0
11:15 - 11:30 PM,9,0
"Wed, Sep 14, 2022",3047,0
06:00 - 06:15 AM,31,0
06:15 - 06:30 AM,11,0
06:30 - 06:45 AM,22,0
06:45 - 07:00 AM,18,0
07:00 - 07:15 AM,23,0
07:15 - 07:30 AM,18,0
07:30 - 07:45 AM,15,0
07:45 - 08:00 AM,20,0
08:00 - 08:15 AM,26,0
"Tue, Feb 21 2023 2:45P",Page: 4/247,
Entrances,Exits,
08:15 - 08:30 AM,31,0
08:30 - 08:45 AM,48,0
08:45 - 9:00 AM,46,0
9:00 - 9:15 AM,79,0
9:15 - 9:30 AM,61,0
9:30 - 9:45 AM,75,0
9:45 - 10:00 AM,68,0
10:00 - 10:15 AM,85,0
10:15 - 10:30 AM,55,0
10:30 - 10:45 AM,76,0
10:45 - 11:00 AM,85,0
11:00 - 11:15 AM,87,0
11:15 - 11:30 AM,63,0
11:30 - 11:45 AM,87,0
11:45 - 12:00 AM,102,0
12:00 - 12:15 AM,141,0
12:15 - 12:30 AM,86,0
12:30 - 12:45 AM,80,0
12:45 - 01:00 PM,78,0
01:00 - 01:15 PM,74,0
01:15 - 01:30 PM,78,0
01:30 - 01:45 PM,73,0
01:45 - 02:00 PM,63,0
02:00 - 02:15 PM,65,0
02:15 - 02:30 PM,63,0
02:30 - 02:45 PM,47,0
02:45 - 03:00 PM,50,0
03:00 - 03:15 PM,40,0
03:15 - 03:30 PM,51,0
03:30 - 03:45 PM,39,0
03:45 - 04:00 PM,72,0
04:00 - 04:15 PM,63,0
04:15 - 04:30 PM,31,0
04:30 - 04:45 PM,29,0
04:45 - 05:00 PM,38,0
05:00 - 05:15 PM,31,0
05:15 - 05:30 PM,42,0
05:30 - 05:45 PM,30,0
05:45 - 06:00 PM,25,0
06:00 - 06:15 PM,29,0
"Tue, Feb 21 2023 2:45P",Page: 5/247,
Entrances,Exits,
06:15 - 06:30 PM,32,0
06:30 - 06:45 PM,27,0
06:45 - 07:00 PM,23,0
07:00 - 07:15 PM,32,0
07:15 - 07:30 PM,30,0
07:30 - 07:45 PM,22,0
07:45 - 08:00 PM,27,0
08:00 - 08:15 PM,23,0
08:15 - 08:30 PM,19,0
08:30 - 08:45 PM,19,0
08:45 - 9:00 PM,11,0
9:00 - 9:15 PM,12,0
9:15 - 9:30 PM,25,0
9:30 - 9:45 PM,14,0
9:45 - 10:00 PM,14,0
10:00 - 10:15 PM,17,0
10:15 - 10:30 PM,14,0
10:30 - 10:45 PM,8,0
10:45 - 11:00 PM,9,0
11:00 - 11:15 PM,8,0
11:15 - 11:30 PM,10,0
11:45 - 00:00 AM,1,0
"Thu, Sep 15, 2022",2656,0
06:00 - 06:15 AM,28,0
06:15 - 06:30 AM,23,0
06:30 - 06:45 AM,34,0
06:45 - 07:00 AM,38,0
07:00 - 07:15 AM,47,0
07:15 - 07:30 AM,42,0
07:30 - 07:45 AM,34,0
07:45 - 08:00 AM,64,0
08:00 - 08:15 AM,13,0
08:15 - 08:30 AM,27,0
08:30 - 08:45 AM,42,0
08:45 - 9:00 AM,45,0
9:00 - 9:15 AM,51,0
9:15 - 9:30 AM,30,0
9:30 - 9:45 AM,21,0
9:45 - 10:00 AM,30,0
10:00 - 10:15 AM,38,0
"Tue, Feb 21 2023 2:45P",Page: 6/247,
Entrances,Exits,
10:15 - 10:30 AM,33,0
10:30 - 10:45 AM,38,0
10:45 - 11:00 AM,51,0
11:00 - 11:15 AM,50,0
11:15 - 11:30 AM,61,0
11:30 - 11:45 AM,75,0
11:45 - 12:00 AM,56,0
12:00 - 12:15 AM,69,0
12:15 - 12:30 AM,70,0
12:30 - 12:45 AM,58,0
12:45 - 01:00 PM,68,0
01:00 - 01:15 PM,52,0
01:15 - 01:30 PM,42,0
01:30 - 01:45 PM,33,0
01:45 - 02:00 PM,32,0
02:00 - 02:15 PM,45,0
02:15 - 02:30 PM,47,0
02:30 - 02:45 PM,58,0
02:45 - 03:00 PM,72,0
03:00 - 03:15 PM,54,0
03:15 - 03:30 PM,35,0
03:30 - 03:45 PM,58,0
03:45 - 04:00 PM,44,0
04:00 - 04:15 PM,88,0
04:15 - 04:30 PM,63,0
04:30 - 04:45 PM,50,0
04:45 - 05:00 PM,35,0
05:00 - 05:15 PM,37,0
05:15 - 05:30 PM,25,0
05:30 - 05:45 PM,33,0
05:45 - 06:00 PM,56,0
06:00 - 06:15 PM,43,0
06:15 - 06:30 PM,25,0
06:30 - 06:45 PM,20,0
06:45 - 07:00 PM,12,0
07:00 - 07:15 PM,36,0
07:15 - 07:30 PM,23,0
07:30 - 07:45 PM,19,0
07:45 - 08:00 PM,12,0
08:00 - 08:15 PM,23,0
"Tue, Feb 21 2023 2:45P",Page: 7/247,
Entrances,Exits,
08:15 - 08:30 PM,20,0
08:30 - 08:45 PM,43,0
08:45 - 9:00 PM,20,0
9:00 - 9:15 PM,30,0
9:15 - 9:30 PM,13,0
9:30 - 9:45 PM,9,0
9:45 - 10:00 PM,20,0
10:00 - 10:15 PM,17,0
10:15 - 10:30 PM,24,0
10:30 - 10:45 PM,17,0
10:45 - 11:00 PM,14,0
11:00 - 11:15 PM,9,0
11:15 - 11:30 PM,8,0
11:30 - 11:45 PM,4,0
"Fri, Sep 16, 2022",3217,0
05:45 - 06:00 AM,1,0
06:00 - 06:15 AM,20,0
06:15 - 06:30 AM,11,0
06:30 - 06:45 AM,24,0
06:45 - 07:00 AM,15,0
07:00 - 07:15 AM,28,0
07:15 - 07:30 AM,31,0
07:30 - 07:45 AM,58,0
07:45 - 08:00 AM,32,0
08:00 - 08:15 AM,26,0
08:15 - 08:30 AM,28,0
08:30 - 08:45 AM,39,0
08:45 - 9:00 AM,47,0
9:00 - 9:15 AM,49,0
9:15 - 9:30 AM,20,0
9:30 - 9:45 AM,33,0
9:45 - 10:00 AM,36,0
10:00 - 10:15 AM,34,0
10:15 - 10:30 AM,46,0
10:30 - 10:45 AM,73,0
10:45 - 11:00 AM,63,0
11:00 - 11:15 AM,70,0
11:15 - 11:30 AM,62,0
11:30 - 11:45 AM,61,0
11:45 - 12:00 AM,49,0
"Tue, Feb 21 2023 2:45P",Page: 8/247,
Entrances,Exits,
12:00 - 12:15 AM,71,0
12:15 - 12:30 AM,58,0
12:30 - 12:45 AM,55,0
12:45 - 01:00 PM,73,0
01:00 - 01:15 PM,68,0
01:15 - 01:30 PM,68,0
01:30 - 01:45 PM,106,0
01:45 - 02:00 PM,104,0
02:00 - 02:15 PM,97,0
02:15 - 02:30 PM,75,0
02:30 - 02:45 PM,70,0
02:45 - 03:00 PM,88,0
03:00 - 03:15 PM,73,0
03:15 - 03:30 PM,75,0
03:30 - 03:45 PM,82,0
03:45 - 04:00 PM,77,0
04:00 - 04:15 PM,117,0
04:15 - 04:30 PM,80,0
04:30 - 04:45 PM,71,0
04:45 - 05:00 PM,48,0
05:00 - 05:15 PM,46,0
05:15 - 05:30 PM,50,0
05:30 - 05:45 PM,65,0
05:45 - 06:00 PM,42,0
06:00 - 06:15 PM,28,0
06:15 - 06:30 PM,32,0
06:30 - 06:45 PM,9,0
06:45 - 07:00 PM,24,0
