time,tavg,prcp
2022-09-12,69.44,0.0
2022-09-13,66.2,0.0
2022-09-14,65.12,0.0
2022-09-15,64.58000000000001,0.0
2022-09-16,64.4,0.0
2022-09-17,60.44,0.0
2022-09-18,64.4,9.7
2022-09-19,63.86,19.6
2022-09-20,65.48,0.0
2022-09-21,65.12,0.0
2022-09-22,71.96000000000001,0.0
2022-09-23,70.88,0.0
2022-09-24,63.68000000000001,0.0
2022-09-25,63.86,0.0
2022-09-26,63.31999999999999,0.0
2022-09-27,63.31999999999999,0.0
2022-09-28,64.03999999999999,0.0
2022-09-29,62.42,0.0
2022-09-30,62.06,0.0
2022-10-01,62.06,0.0
2022-10-02,61.88,0.0
2022-10-03,61.88,0.0
2022-10-04,62.06,0.0
2022-10-05,60.980000000000004,0.0
2022-10-06,59.900000000000006,0.0
2022-10-07,59.900000000000006,0.0
2022-10-08,59.72,0.0
2022-10-09,60.44,0.0
2022-10-10,61.16,0.0
2022-10-11,60.44,0.0
2022-10-12,60.620000000000005,0.0
2022-10-13,61.34,0.0
2022-10-14,59.900000000000006,0.0
2022-10-15,62.24,0.0
2022-10-16,63.5,0.0
2022-10-17,62.24,0.0
2022-10-18,65.84,0.0
2022-10-19,75.38,0.0
2022-10-20,69.62,0.0
2022-10-21,61.34,0.0
2022-10-22,59.72,0.0
2022-10-23,58.46,0.0
2022-10-24,62.24,0.0
2022-10-25,57.56,0.0
2022-10-26,56.120000000000005,0.0
2022-10-27,58.64,0.0
2022-10-28,52.879999999999995,0.0
2022-10-29,59.18,0.0
2022-10-30,61.519999999999996,0.0
2022-10-31,54.68,0.0
2022-11-01,55.040000000000006,0.8
2022-11-02,53.96,0.0
2022-11-03,50.0,0.0
2022-11-04,54.86,0.0
2022-11-05,55.22,0.0
2022-11-06,57.019999999999996,0.0
2022-11-07,53.42,3.7
2022-11-08,52.519999999999996,24.7
2022-11-09,51.08,2.3
2022-11-10,53.6,0.0
2022-11-11,51.44,0.0
2022-11-12,50.36,0.0
2022-11-13,53.06,0.0
2022-11-14,48.019999999999996,0.0
2022-11-15,53.6,0.0
2022-11-16,58.1,0.0
2022-11-17,50.900000000000006,0.0
2022-11-18,54.5,0.0
2022-11-19,56.120000000000005,0.0
2022-11-20,53.06,0.0
2022-11-21,51.08,0.0
2022-11-22,53.96,0.0
2022-11-23,61.88,0.0
2022-11-24,56.84,0.0
2022-11-25,54.14,0.0
2022-11-26,52.34,0.0
2022-11-27,51.8,0.0
2022-11-28,50.0,0.0
2022-11-29,50.36,0.0
2022-11-30,49.1,0.0
2022-12-01,52.7,43.2
2022-12-02,53.42,2.0
2022-12-03,59.900000000000006,20.6
2022-12-04,55.76,9.9
2022-12-05,52.7,0.0
2022-12-06,48.74,3.3
2022-12-07,46.94,0.0
2022-12-08,46.58,0.0
2022-12-09,51.08,0.0
2022-12-10,55.58,46.2
2022-12-11,50.72,15.4
2022-12-12,48.379999999999995,6.3
2022-12-13,45.14,0.0
2022-12-14,46.22,0.0
2022-12-15,46.94,0.0
2022-12-16,47.66,0.0
2022-12-17,45.68,0.0
2022-12-18,46.22,0.0
2022-12-19,45.5,0.0
2022-12-20,47.84,0.0
2022-12-21,55.400000000000006,0.0
2022-12-22,56.66,0.0
2022-12-23,55.76,0.0
2022-12-24,57.92,0.0
2022-12-25,57.74,0.0
2022-12-26,55.58,0.0
2022-12-27,55.58,38.3
2022-12-28,55.22,0.0
2022-12-29,53.78,0.5
2022-12-30,57.019999999999996,2.5
2022-12-31,57.019999999999996,39.5
2023-01-01,53.06,0.5
2023-01-02,47.3,4.1
2023-01-03,52.34,0.6
2023-01-04,57.2,32.7
2023-01-05,54.68,23.6
2023-01-06,48.56,0.0
2023-01-07,51.620000000000005,5.4
2023-01-08,57.379999999999995,14.8
2023-01-09,60.26,97.2
2023-01-10,55.58,41.3
2023-01-11,55.58,0.0
2023-01-12,53.06,0.0
2023-01-13,53.42,11.0
2023-01-14,56.120000000000005,46.9
2023-01-15,51.08,7.7
2023-01-16,50.72,17.2
2023-01-17,46.94,0.0
2023-01-18,46.94,0.0
2023-01-19,48.379999999999995,1.5
2023-01-20,47.480000000000004,0.0
2023-01-21,46.76,0.0
2023-01-22,50.0,0.0
2023-01-23,46.94,0.0
2023-01-24,47.480000000000004,0.0
2023-01-25,50.0,0.0
2023-01-26,50.540000000000006,0.0
2023-01-27,50.900000000000006,0.0
2023-01-28,51.980000000000004,0.0
2023-01-29,48.56,5.5
2023-01-30,49.28,0.0
2023-01-31,48.2,0.0
2023-02-01,46.04,0.0
2023-02-02,48.56,0.0
2023-02-03,52.7,0.0
2023-02-04,53.24,6.9
2023-02-05,53.96,2.6
2023-02-06,52.34,0.0
2023-02-07,50.0,0.0
2023-02-08,56.84,0.0
2023-02-09,55.76,0.0
2023-02-10,51.620000000000005,0.0
2023-02-11,48.56,0.7
2023-02-12,51.8,0.0
2023-02-13,50.72,0.0
2023-02-14,50.0,0.0
2023-02-15,47.120000000000005,0.0
2023-02-16,45.14,0.0
2023-02-17,48.019999999999996,0.0
2023-02-18,51.980000000000004,0.0
2023-02-19,53.6,0.0
2023-02-20,53.78,0.0
