time,time,tavg,prcp,Average Temperature (F)
2022-09-12,,20.8,0.0,69.44
2022-09-13,,19.0,0.0,66.2
2022-09-14,,18.4,0.0,65.12
2022-09-15,,18.1,0.0,64.58000000000001
2022-09-16,,18.0,0.0,64.4
2022-09-17,,15.8,0.0,60.44
2022-09-18,,18.0,9.7,64.4
2022-09-19,,17.7,19.6,63.86
2022-09-20,,18.6,0.0,65.48
2022-09-21,,18.4,0.0,65.12
2022-09-22,,22.2,0.0,71.96000000000001
2022-09-23,,21.6,0.0,70.88
2022-09-24,,17.6,0.0,63.68000000000001
2022-09-25,,17.7,0.0,63.86
2022-09-26,,17.4,0.0,63.31999999999999
2022-09-27,,17.4,0.0,63.31999999999999
2022-09-28,,17.8,0.0,64.03999999999999
2022-09-29,,16.9,0.0,62.42
2022-09-30,,16.7,0.0,62.06
2022-10-01,,16.7,0.0,62.06
2022-10-02,,16.6,0.0,61.88
2022-10-03,,16.6,0.0,61.88
2022-10-04,,16.7,0.0,62.06
2022-10-05,,16.1,0.0,60.980000000000004
2022-10-06,,15.5,0.0,59.900000000000006
2022-10-07,,15.5,0.0,59.900000000000006
2022-10-08,,15.4,0.0,59.72
2022-10-09,,15.8,0.0,60.44
2022-10-10,,16.2,0.0,61.16
2022-10-11,,15.8,0.0,60.44
2022-10-12,,15.9,0.0,60.620000000000005
2022-10-13,,16.3,0.0,61.34
2022-10-14,,15.5,0.0,59.900000000000006
2022-10-15,,16.8,0.0,62.24
2022-10-16,,17.5,0.0,63.5
2022-10-17,,16.8,0.0,62.24
2022-10-18,,18.8,0.0,65.84
2022-10-19,,24.1,0.0,75.38
2022-10-20,,20.9,0.0,69.62
2022-10-21,,16.3,0.0,61.34
2022-10-22,,15.4,0.0,59.72
2022-10-23,,14.7,0.0,58.46
2022-10-24,,16.8,0.0,62.24
2022-10-25,,14.2,0.0,57.56
2022-10-26,,13.4,0.0,56.120000000000005
2022-10-27,,14.8,0.0,58.64
2022-10-28,,11.6,0.0,52.879999999999995
2022-10-29,,15.1,0.0,59.18
2022-10-30,,16.4,0.0,61.519999999999996
2022-10-31,,12.6,0.0,54.68
2022-11-01,,12.8,0.8,55.040000000000006
2022-11-02,,12.2,0.0,53.96
2022-11-03,,10.0,0.0,50.0
2022-11-04,,12.7,0.0,54.86
2022-11-05,,12.9,0.0,55.22
2022-11-06,,13.9,0.0,57.019999999999996
2022-11-07,,11.9,3.7,53.42
2022-11-08,,11.4,24.7,52.519999999999996
2022-11-09,,10.6,2.3,51.08
2022-11-10,,12.0,0.0,53.6
2022-11-11,,10.8,0.0,51.44
2022-11-12,,10.2,0.0,50.36
2022-11-13,,11.7,0.0,53.06
2022-11-14,,8.9,0.0,48.019999999999996
2022-11-15,,12.0,0.0,53.6
2022-11-16,,14.5,0.0,58.1
2022-11-17,,10.5,0.0,50.900000000000006
2022-11-18,,12.5,0.0,54.5
2022-11-19,,13.4,0.0,56.120000000000005
2022-11-20,,11.7,0.0,53.06
2022-11-21,,10.6,0.0,51.08
2022-11-22,,12.2,0.0,53.96
2022-11-23,,16.6,0.0,61.88
2022-11-24,,13.8,0.0,56.84
2022-11-25,,12.3,0.0,54.14
2022-11-26,,11.3,0.0,52.34
2022-11-27,,11.0,0.0,51.8
2022-11-28,,10.0,0.0,50.0
2022-11-29,,10.2,0.0,50.36
2022-11-30,,9.5,0.0,49.1
2022-12-01,,11.5,43.2,52.7
2022-12-02,,11.9,2.0,53.42
2022-12-03,,15.5,20.6,59.900000000000006
2022-12-04,,13.2,9.9,55.76
2022-12-05,,11.5,0.0,52.7
2022-12-06,,9.3,3.3,48.74
2022-12-07,,8.3,0.0,46.94
2022-12-08,,8.1,0.0,46.58
2022-12-09,,10.6,0.0,51.08
2022-12-10,,13.1,46.2,55.58
2022-12-11,,10.4,15.4,50.72
2022-12-12,,9.1,6.3,48.379999999999995
2022-12-13,,7.3,0.0,45.14
2022-12-14,,7.9,0.0,46.22
2022-12-15,,8.3,0.0,46.94
2022-12-16,,8.7,0.0,47.66
2022-12-17,,7.6,0.0,45.68
2022-12-18,,7.9,0.0,46.22
2022-12-19,,7.5,0.0,45.5
2022-12-20,,8.8,0.0,47.84
2022-12-21,,13.0,0.0,55.400000000000006
2022-12-22,,13.7,0.0,56.66
2022-12-23,,13.2,0.0,55.76
2022-12-24,,14.4,0.0,57.92
2022-12-25,,14.3,0.0,57.74
2022-12-26,,13.1,0.0,55.58
2022-12-27,,13.1,38.3,55.58
2022-12-28,,12.9,0.0,55.22
2022-12-29,,12.1,0.5,53.78
2022-12-30,,13.9,2.5,57.019999999999996
2022-12-31,,13.9,39.5,57.019999999999996
2023-01-01,,11.7,0.5,53.06
2023-01-02,,8.5,4.1,47.3
2023-01-03,,11.3,0.6,52.34
2023-01-04,,14.0,32.7,57.2
2023-01-05,,12.6,23.6,54.68
2023-01-06,,9.2,0.0,48.56
2023-01-07,,10.9,5.4,51.620000000000005
2023-01-08,,14.1,14.8,57.379999999999995
2023-01-09,,15.7,97.2,60.26
2023-01-10,,13.1,41.3,55.58
2023-01-11,,13.1,0.0,55.58
2023-01-12,,11.7,0.0,53.06
2023-01-13,,11.9,11.0,53.42
2023-01-14,,13.4,46.9,56.120000000000005
2023-01-15,,10.6,7.7,51.08
2023-01-16,,10.4,17.2,50.72
2023-01-17,,8.3,0.0,46.94
2023-01-18,,8.3,0.0,46.94
2023-01-19,,9.1,1.5,48.379999999999995
2023-01-20,,8.6,0.0,47.480000000000004
2023-01-21,,8.2,0.0,46.76
2023-01-22,,10.0,0.0,50.0
2023-01-23,,8.3,0.0,46.94
2023-01-24,,8.6,0.0,47.480000000000004
2023-01-25,,10.0,0.0,50.0
2023-01-26,,10.3,0.0,50.540000000000006
2023-01-27,,10.5,0.0,50.900000000000006
2023-01-28,,11.1,0.0,51.980000000000004
2023-01-29,,9.2,5.5,48.56
2023-01-30,,9.6,0.0,49.28
2023-01-31,,9.0,0.0,48.2
2023-02-01,,7.8,0.0,46.04
2023-02-02,,9.2,0.0,48.56
2023-02-03,,11.5,0.0,52.7
2023-02-04,,11.8,6.9,53.24
