Date,Entrances
9/12/22,2066
9/13/22,2410
9/14/22,3047
9/15/22,2656
9/16/22,3217
9/17/22,2903
9/18/22,2731
9/19/22,5763
9/20/22,6127
9/21/22,4838
9/22/22,4855
9/23/22,4553
9/24/22,1767
9/25/22,2935
9/26/22,5438
9/27/22,5630
9/28/22,5261
9/29/22,4478
9/30/22,3868
10/1/22,2560
10/2/22,2306
10/3/22,5158
10/4/22,5108
10/5/22,4829
10/6/22,4365
10/7/22,3703
10/8/22,2465
10/9/22,2690
10/10/22,4976
10/11/22,4827
10/12/22,4587
10/13/22,4076
10/14/22,3688
10/15/22,2241
10/16/22,2106
10/17/22,4991
10/18/22,4920
10/19/22,4880
10/20/22,4237
10/21/22,3390
10/22/22,2169
10/23/22,2224
10/24/22,4754
10/25/22,4666
10/26/22,4504
10/27/22,3965
10/28/22,3008
10/29/22,2011
10/30/22,2191
10/31/22,4278
11/1/22,4504
11/2/22,4195
11/3/22,4020
11/4/22,2847
11/5/22,2224
11/6/22,2514
11/7/22,4534
11/8/22,4283
11/9/22,4406
11/10/22,4195
11/11/22,2687
11/12/22,2171
11/13/22,2364
11/14/22,4463
11/15/22,4336
11/16/22,4149
11/17/22,3243
11/18/22,2106
11/19/22,822
11/20/22,526
11/21/22,567
11/22/22,462
11/23/22,291
11/24/22,0
11/25/22,259
11/26/22,654
11/27/22,1600
11/28/22,4101
11/29/22,4352
11/30/22,4040
12/1/22,3292
12/2/22,3334
12/3/22,2514
12/4/22,2232
12/5/22,3501
12/6/22,3137
12/7/22,2864
12/8/22,2235
12/9/22,1650
12/10/22,723
12/11/22,635
12/12/22,788
12/13/22,679
12/14/22,557
12/15/22,423
12/16/22,440
12/17/22,293
12/18/22,250
12/19/22,359
12/20/22,351
12/21/22,134
12/22/22,224
12/23/22,179
12/24/22,0
12/25/22,0
12/26/22,0
12/27/22,0
12/28/22,0
12/29/22,0
12/30/22,0
12/31/22,0
1/1/23,0
1/2/23,476
1/3/23,627
1/4/23,712
1/5/23,738
1/6/23,955
1/7/23,1420
1/8/23,2624
1/9/23,3257
1/10/23,0
1/11/23,7265
1/12/23,5885
1/13/23,4830
1/14/23,3261
1/15/23,3557
1/16/23,4685
1/17/23,6208
1/18/23,5831
1/19/23,5210
1/20/23,4402
1/21/23,2987
1/22/23,2960
1/23/23,6059
1/24/23,6189
1/25/23,5475
1/26/23,5083
1/27/23,4445
1/28/23,2975
1/29/23,2919
1/30/23,5681
1/31/23,6041
2/1/23,5552
2/2/23,4929
2/3/23,4150
2/4/23,2632
2/5/23,3030
2/6/23,5721
2/7/23,5824
2/8/23,5477
2/9/23,5211
2/10/23,4249
2/11/23,2785
2/12/23,2339
2/13/23,5211
2/14/23,5152
2/15/23,5007
2/16/23,4630
2/17/23,3350
2/18/23,2035
2/19/23,2158
2/20/23,3388
