Date,Entrances
2022-09-12,2066
2022-09-13,2410
2022-09-14,3047
2022-09-15,2656
2022-09-16,3217
2022-09-17,2903
2022-09-18,2731
2022-09-19,5763
2022-09-20,6127
2022-09-21,4838
2022-09-22,4855
2022-09-23,4553
2022-09-24,1767
2022-09-25,2935
2022-09-26,5438
2022-09-27,5630
2022-09-28,5261
2022-09-29,4478
2022-09-30,3868
2022-10-01,2560
2022-10-02,2306
2022-10-03,5158
2022-10-04,5108
2022-10-05,4829
2022-10-06,4365
2022-10-07,3703
2022-10-08,2465
2022-10-09,2690
2022-10-10,4976
2022-10-11,4827
2022-10-12,4587
2022-10-13,4076
2022-10-14,3688
2022-10-15,2241
2022-10-16,2106
2022-10-17,4991
2022-10-18,4920
2022-10-19,4880
2022-10-20,4237
2022-10-21,3390
2022-10-22,2169
2022-10-23,2224
2022-10-24,4754
2022-10-25,4666
2022-10-26,4504
2022-10-27,3965
2022-10-28,3008
2022-10-29,2011
2022-10-30,2191
2022-10-31,4278
2022-11-01,4504
2022-11-02,4195
2022-11-03,4020
2022-11-04,2847
2022-11-05,2224
2022-11-06,2514
2022-11-07,4534
2022-11-08,4283
2022-11-09,4406
2022-11-10,4195
2022-11-11,2687
2022-11-12,2171
2022-11-13,2364
2022-11-14,4463
2022-11-15,4336
2022-11-16,4149
2022-11-17,3243
2022-11-18,2106
2022-11-19,822
2022-11-20,526
2022-11-21,567
2022-11-22,462
2022-11-23,291
2022-11-24,0
2022-11-25,259
2022-11-26,654
2022-11-27,1600
2022-11-28,4101
2022-11-29,4352
2022-11-30,4040
2022-12-01,3292
2022-12-02,3334
2022-12-03,2514
2022-12-04,2232
2022-12-05,3501
2022-12-06,3137
2022-12-07,2864
2022-12-08,2235
2022-12-09,1650
2022-12-10,723
2022-12-11,635
2022-12-12,788
2022-12-13,679
2022-12-14,557
2022-12-15,423
2022-12-16,440
2022-12-17,293
2022-12-18,250
2022-12-19,359
2022-12-20,351
2022-12-21,134
2022-12-22,224
2022-12-23,179
2022-12-24,0
2022-12-25,0
2022-12-26,0
2022-12-27,0
2022-12-28,0
2022-12-29,0
2022-12-30,0
2022-12-31,0
2023-01-01,0
2023-01-02,476
2023-01-03,627
2023-01-04,712
2023-01-05,738
2023-01-06,955
2023-01-07,1420
2023-01-08,2624
2023-01-09,3257
2023-01-10,0
2023-01-11,7265
2023-01-12,5885
2023-01-13,4830
2023-01-14,3261
2023-01-15,3557
2023-01-16,4685
2023-01-17,6208
2023-01-18,5831
2023-01-19,5210
2023-01-20,4402
2023-01-21,2987
2023-01-22,2960
2023-01-23,6059
2023-01-24,6189
2023-01-25,5475
2023-01-26,5083
2023-01-27,4445
2023-01-28,2975
2023-01-29,2919
2023-01-30,5681
2023-01-31,6041
2023-02-01,5552
2023-02-02,4929
2023-02-03,4150
2023-02-04,2632
2023-02-05,3030
2023-02-06,5721
2023-02-07,5824
2023-02-08,5477
2023-02-09,5211
2023-02-10,4249
2023-02-11,2785
2023-02-12,2339
2023-02-13,5211
2023-02-14,5152
2023-02-15,5007
2023-02-16,4630
2023-02-17,3350
2023-02-18,2035
2023-02-19,2158
2023-02-20,3388
