DateTime,Date,Hour,Entrances
2022-09-12 01:00:00,2022-09-12,1,147
2022-09-12 02:00:00,2022-09-12,2,140
2022-09-12 03:00:00,2022-09-12,3,217
2022-09-12 04:00:00,2022-09-12,4,198
2022-09-12 05:00:00,2022-09-12,5,207
2022-09-12 06:00:00,2022-09-12,6,209
2022-09-12 07:00:00,2022-09-12,7,161
2022-09-12 08:00:00,2022-09-12,8,152
2022-09-12 09:00:00,2022-09-12,9,123
2022-09-12 10:00:00,2022-09-12,10,152
2022-09-12 11:00:00,2022-09-12,11,170
2022-09-12 12:00:00,2022-09-12,12,190
2022-09-13 01:00:00,2022-09-13,1,199
2022-09-13 02:00:00,2022-09-13,2,228
2022-09-13 03:00:00,2022-09-13,3,136
2022-09-13 04:00:00,2022-09-13,4,246
2022-09-13 05:00:00,2022-09-13,5,195
2022-09-13 06:00:00,2022-09-13,6,202
2022-09-13 07:00:00,2022-09-13,7,227
2022-09-13 08:00:00,2022-09-13,8,238
2022-09-13 09:00:00,2022-09-13,9,196
2022-09-13 10:00:00,2022-09-13,10,169
2022-09-13 11:00:00,2022-09-13,11,181
2022-09-13 12:00:00,2022-09-13,12,193
2022-09-14 01:00:00,2022-09-14,1,288
2022-09-14 02:00:00,2022-09-14,2,225
2022-09-14 03:00:00,2022-09-14,3,202
2022-09-14 04:00:00,2022-09-14,4,161
2022-09-14 05:00:00,2022-09-14,5,128
2022-09-14 06:00:00,2022-09-14,6,193
2022-09-14 07:00:00,2022-09-14,7,187
2022-09-14 08:00:00,2022-09-14,8,223
2022-09-14 09:00:00,2022-09-14,9,348
2022-09-14 10:00:00,2022-09-14,10,349
2022-09-14 11:00:00,2022-09-14,11,358
2022-09-14 12:00:00,2022-09-14,12,385
2022-09-15 01:00:00,2022-09-15,1,159
2022-09-15 02:00:00,2022-09-15,2,222
2022-09-15 03:00:00,2022-09-15,3,191
2022-09-15 04:00:00,2022-09-15,4,236
2022-09-15 05:00:00,2022-09-15,5,151
2022-09-15 06:00:00,2022-09-15,6,223
2022-09-15 07:00:00,2022-09-15,7,277
2022-09-15 08:00:00,2022-09-15,8,233
2022-09-15 09:00:00,2022-09-15,9,204
2022-09-15 10:00:00,2022-09-15,10,232
2022-09-15 11:00:00,2022-09-15,11,263
2022-09-15 12:00:00,2022-09-15,12,265
2022-09-16 01:00:00,2022-09-16,1,346
2022-09-16 02:00:00,2022-09-16,2,330
2022-09-16 03:00:00,2022-09-16,3,307
2022-09-16 04:00:00,2022-09-16,4,316
2022-09-16 05:00:00,2022-09-16,5,204
2022-09-16 06:00:00,2022-09-16,6,163
2022-09-16 07:00:00,2022-09-16,7,281
2022-09-16 08:00:00,2022-09-16,8,282
2022-09-16 09:00:00,2022-09-16,9,223
2022-09-16 10:00:00,2022-09-16,10,258
2022-09-16 11:00:00,2022-09-16,11,250
2022-09-16 12:00:00,2022-09-16,12,257
2022-09-17 01:00:00,2022-09-17,1,345
2022-09-17 02:00:00,2022-09-17,2,310
2022-09-17 03:00:00,2022-09-17,3,312
2022-09-17 04:00:00,2022-09-17,4,244
2022-09-17 05:00:00,2022-09-17,5,171
2022-09-17 06:00:00,2022-09-17,6,151
2022-09-17 07:00:00,2022-09-17,7,155
2022-09-17 08:00:00,2022-09-17,8,220
2022-09-17 09:00:00,2022-09-17,9,205
2022-09-17 10:00:00,2022-09-17,10,223
2022-09-17 11:00:00,2022-09-17,11,293
2022-09-17 12:00:00,2022-09-17,12,274
2022-09-18 01:00:00,2022-09-18,1,110
2022-09-18 02:00:00,2022-09-18,2,208
2022-09-18 03:00:00,2022-09-18,3,298
2022-09-18 04:00:00,2022-09-18,4,342
2022-09-18 05:00:00,2022-09-18,5,264
2022-09-18 06:00:00,2022-09-18,6,227
2022-09-18 07:00:00,2022-09-18,7,152
2022-09-18 08:00:00,2022-09-18,8,338
2022-09-18 09:00:00,2022-09-18,9,176
2022-09-18 10:00:00,2022-09-18,10,180
2022-09-18 11:00:00,2022-09-18,11,252
2022-09-18 12:00:00,2022-09-18,12,184
2022-09-19 01:00:00,2022-09-19,1,330
2022-09-19 02:00:00,2022-09-19,2,347
2022-09-19 03:00:00,2022-09-19,3,348
2022-09-19 04:00:00,2022-09-19,4,434
2022-09-19 05:00:00,2022-09-19,5,429
2022-09-19 06:00:00,2022-09-19,6,781
2022-09-19 07:00:00,2022-09-19,7,569
2022-09-19 08:00:00,2022-09-19,8,659
2022-09-19 09:00:00,2022-09-19,9,608
2022-09-19 10:00:00,2022-09-19,10,494
2022-09-19 11:00:00,2022-09-19,11,392
2022-09-19 12:00:00,2022-09-19,12,372
2022-09-20 01:00:00,2022-09-20,1,372
2022-09-20 02:00:00,2022-09-20,2,385
2022-09-20 03:00:00,2022-09-20,3,359
2022-09-20 04:00:00,2022-09-20,4,461
2022-09-20 05:00:00,2022-09-20,5,428
2022-09-20 06:00:00,2022-09-20,6,803
2022-09-20 07:00:00,2022-09-20,7,647
2022-09-20 08:00:00,2022-09-20,8,618
2022-09-20 09:00:00,2022-09-20,9,702
2022-09-20 10:00:00,2022-09-20,10,506
2022-09-20 11:00:00,2022-09-20,11,523
2022-09-20 12:00:00,2022-09-20,12,323
2022-09-21 01:00:00,2022-09-21,1,320
2022-09-21 02:00:00,2022-09-21,2,381
2022-09-21 03:00:00,2022-09-21,3,275
2022-09-21 04:00:00,2022-09-21,4,281
2022-09-21 05:00:00,2022-09-21,5,265
2022-09-21 06:00:00,2022-09-21,6,511
2022-09-21 07:00:00,2022-09-21,7,509
2022-09-21 08:00:00,2022-09-21,8,585
2022-09-21 09:00:00,2022-09-21,9,511
2022-09-21 10:00:00,2022-09-21,10,444
2022-09-21 11:00:00,2022-09-21,11,342
2022-09-21 12:00:00,2022-09-21,12,414
2022-09-22 01:00:00,2022-09-22,1,292
2022-09-22 02:00:00,2022-09-22,2,341
2022-09-22 03:00:00,2022-09-22,3,305
2022-09-22 04:00:00,2022-09-22,4,437
2022-09-22 05:00:00,2022-09-22,5,297
2022-09-22 06:00:00,2022-09-22,6,584
2022-09-22 07:00:00,2022-09-22,7,439
2022-09-22 08:00:00,2022-09-22,8,495
2022-09-22 09:00:00,2022-09-22,9,499
2022-09-22 10:00:00,2022-09-22,10,424
2022-09-22 11:00:00,2022-09-22,11,443
2022-09-22 12:00:00,2022-09-22,12,299
2022-09-23 01:00:00,2022-09-23,1,406
2022-09-23 02:00:00,2022-09-23,2,431
2022-09-23 03:00:00,2022-09-23,3,395
2022-09-23 04:00:00,2022-09-23,4,362
2022-09-23 05:00:00,2022-09-23,5,283
2022-09-23 06:00:00,2022-09-23,6,459
2022-09-23 07:00:00,2022-09-23,7,314
2022-09-23 08:00:00,2022-09-23,8,364
2022-09-23 09:00:00,2022-09-23,9,326
2022-09-23 10:00:00,2022-09-23,10,411
2022-09-23 11:00:00,2022-09-23,11,372
2022-09-23 12:00:00,2022-09-23,12,430
2022-09-24 01:00:00,2022-09-24,1,190
2022-09-24 02:00:00,2022-09-24,2,281
2022-09-24 03:00:00,2022-09-24,3,842
2022-09-24 04:00:00,2022-09-24,4,595
2022-09-24 05:00:00,2022-09-24,5,494
2022-09-24 06:00:00,2022-09-24,6,435
2022-09-24 07:00:00,2022-09-24,7,418
2022-09-24 08:00:00,2022-09-24,8,515
2022-09-24 09:00:00,2022-09-24,9,273
2022-09-24 10:00:00,2022-09-24,10,212
2022-09-24 11:00:00,2022-09-24,11,260
2022-09-24 12:00:00,2022-09-24,12,187
2022-09-26 01:00:00,2022-09-26,1,249
2022-09-26 02:00:00,2022-09-26,2,332
2022-09-26 03:00:00,2022-09-26,3,308
2022-09-26 04:00:00,2022-09-26,4,429
2022-09-26 05:00:00,2022-09-26,5,399
2022-09-26 06:00:00,2022-09-26,6,757
2022-09-26 07:00:00,2022-09-26,7,578
2022-09-26 08:00:00,2022-09-26,8,731
2022-09-26 09:00:00,2022-09-26,9,569
2022-09-26 10:00:00,2022-09-26,10,457
2022-09-26 11:00:00,2022-09-26,11,329
2022-09-26 12:00:00,2022-09-26,12,300
2022-09-27 01:00:00,2022-09-27,1,300
2022-09-27 02:00:00,2022-09-27,2,377
2022-09-27 03:00:00,2022-09-27,3,339
2022-09-27 04:00:00,2022-09-27,4,394
2022-09-27 05:00:00,2022-09-27,5,441
2022-09-27 06:00:00,2022-09-27,6,767
2022-09-27 07:00:00,2022-09-27,7,619
2022-09-27 08:00:00,2022-09-27,8,660
2022-09-27 09:00:00,2022-09-27,9,586
2022-09-27 10:00:00,2022-09-27,10,413
2022-09-27 11:00:00,2022-09-27,11,449
2022-09-27 12:00:00,2022-09-27,12,285
2022-09-28 01:00:00,2022-09-28,1,304
2022-09-28 02:00:00,2022-09-28,2,351
2022-09-28 03:00:00,2022-09-28,3,272
2022-09-28 04:00:00,2022-09-28,4,401
2022-09-28 05:00:00,2022-09-28,5,406
2022-09-28 06:00:00,2022-09-28,6,661
2022-09-28 07:00:00,2022-09-28,7,534
2022-09-28 08:00:00,2022-09-28,8,600
2022-09-28 09:00:00,2022-09-28,9,540
2022-09-28 10:00:00,2022-09-28,10,475
2022-09-28 11:00:00,2022-09-28,11,340
2022-09-28 12:00:00,2022-09-28,12,377
2022-09-29 01:00:00,2022-09-29,1,240
2022-09-29 02:00:00,2022-09-29,2,303
2022-09-29 03:00:00,2022-09-29,3,310
2022-09-29 04:00:00,2022-09-29,4,391
