DateTime,Date,Hour,Entrances
2022-09-12 06:00:00,2022-09-12,6,56
2022-09-12 07:00:00,2022-09-12,7,67
2022-09-12 08:00:00,2022-09-12,8,68
2022-09-12 09:00:00,2022-09-12,9,94
2022-09-12 10:00:00,2022-09-12,10,148
2022-09-12 11:00:00,2022-09-12,11,168
2022-09-12 12:00:00,2022-09-12,12,190
2022-09-12 13:00:00,2022-09-12,13,147
2022-09-12 14:00:00,2022-09-12,14,140
2022-09-12 15:00:00,2022-09-12,15,217
2022-09-12 16:00:00,2022-09-12,16,198
2022-09-12 17:00:00,2022-09-12,17,207
2022-09-12 18:00:00,2022-09-12,18,153
2022-09-12 19:00:00,2022-09-12,19,94
2022-09-12 20:00:00,2022-09-12,20,84
2022-09-12 21:00:00,2022-09-12,21,29
2022-09-12 22:00:00,2022-09-12,22,4
2022-09-12 23:00:00,2022-09-12,23,2
2022-09-13 05:00:00,2022-09-13,5,6
2022-09-13 06:00:00,2022-09-13,6,63
2022-09-13 07:00:00,2022-09-13,7,89
2022-09-13 08:00:00,2022-09-13,8,95
2022-09-13 09:00:00,2022-09-13,9,110
2022-09-13 10:00:00,2022-09-13,10,132
2022-09-13 11:00:00,2022-09-13,11,168
2022-09-13 12:00:00,2022-09-13,12,193
2022-09-13 13:00:00,2022-09-13,13,199
2022-09-13 14:00:00,2022-09-13,14,228
2022-09-13 15:00:00,2022-09-13,15,136
2022-09-13 16:00:00,2022-09-13,16,246
2022-09-13 17:00:00,2022-09-13,17,189
2022-09-13 18:00:00,2022-09-13,18,139
2022-09-13 19:00:00,2022-09-13,19,138
2022-09-13 20:00:00,2022-09-13,20,143
2022-09-13 21:00:00,2022-09-13,21,86
2022-09-13 22:00:00,2022-09-13,22,37
2022-09-13 23:00:00,2022-09-13,23,13
2022-09-14 06:00:00,2022-09-14,6,82
2022-09-14 07:00:00,2022-09-14,7,76
2022-09-14 08:00:00,2022-09-14,8,151
2022-09-14 09:00:00,2022-09-14,9,283
2022-09-14 10:00:00,2022-09-14,10,301
2022-09-14 11:00:00,2022-09-14,11,340
2022-09-14 12:00:00,2022-09-14,12,385
2022-09-14 13:00:00,2022-09-14,13,288
2022-09-14 14:00:00,2022-09-14,14,225
2022-09-14 15:00:00,2022-09-14,15,202
2022-09-14 16:00:00,2022-09-14,16,161
2022-09-14 17:00:00,2022-09-14,17,128
2022-09-14 18:00:00,2022-09-14,18,111
2022-09-14 19:00:00,2022-09-14,19,111
2022-09-14 20:00:00,2022-09-14,20,72
2022-09-14 21:00:00,2022-09-14,21,65
2022-09-14 22:00:00,2022-09-14,22,48
2022-09-14 23:00:00,2022-09-14,23,18
2022-09-15 06:00:00,2022-09-15,6,123
2022-09-15 07:00:00,2022-09-15,7,187
2022-09-15 08:00:00,2022-09-15,8,127
2022-09-15 09:00:00,2022-09-15,9,132
2022-09-15 10:00:00,2022-09-15,10,160
2022-09-15 11:00:00,2022-09-15,11,242
2022-09-15 12:00:00,2022-09-15,12,265
2022-09-15 13:00:00,2022-09-15,13,159
2022-09-15 14:00:00,2022-09-15,14,222
2022-09-15 15:00:00,2022-09-15,15,191
2022-09-15 16:00:00,2022-09-15,16,236
2022-09-15 17:00:00,2022-09-15,17,151
2022-09-15 18:00:00,2022-09-15,18,100
2022-09-15 19:00:00,2022-09-15,19,90
2022-09-15 20:00:00,2022-09-15,20,106
2022-09-15 21:00:00,2022-09-15,21,72
2022-09-15 22:00:00,2022-09-15,22,72
2022-09-15 23:00:00,2022-09-15,23,21
2022-09-16 05:00:00,2022-09-16,5,1
2022-09-16 06:00:00,2022-09-16,6,70
2022-09-16 07:00:00,2022-09-16,7,149
2022-09-16 08:00:00,2022-09-16,8,140
2022-09-16 09:00:00,2022-09-16,9,138
2022-09-16 10:00:00,2022-09-16,10,216
2022-09-16 11:00:00,2022-09-16,11,242
2022-09-16 12:00:00,2022-09-16,12,257
2022-09-16 13:00:00,2022-09-16,13,346
2022-09-16 14:00:00,2022-09-16,14,330
2022-09-16 15:00:00,2022-09-16,15,307
2022-09-16 16:00:00,2022-09-16,16,316
2022-09-16 17:00:00,2022-09-16,17,203
2022-09-16 18:00:00,2022-09-16,18,93
2022-09-16 19:00:00,2022-09-16,19,132
2022-09-16 20:00:00,2022-09-16,20,142
2022-09-16 21:00:00,2022-09-16,21,85
2022-09-16 22:00:00,2022-09-16,22,42
2022-09-16 23:00:00,2022-09-16,23,8
2022-09-17 05:00:00,2022-09-17,5,1
2022-09-17 07:00:00,2022-09-17,7,24
2022-09-17 08:00:00,2022-09-17,8,146
2022-09-17 09:00:00,2022-09-17,9,161
2022-09-17 10:00:00,2022-09-17,10,220
2022-09-17 11:00:00,2022-09-17,11,293
2022-09-17 12:00:00,2022-09-17,12,274
2022-09-17 13:00:00,2022-09-17,13,345
2022-09-17 14:00:00,2022-09-17,14,310
2022-09-17 15:00:00,2022-09-17,15,312
2022-09-17 16:00:00,2022-09-17,16,244
2022-09-17 17:00:00,2022-09-17,17,170
2022-09-17 18:00:00,2022-09-17,18,151
2022-09-17 19:00:00,2022-09-17,19,131
2022-09-17 20:00:00,2022-09-17,20,74
